PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2017-10-21 12:00:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,295
2017-10-21 17:30:00 +0000 +0000,KARINCALAR - BİR SAVAŞ VARDI,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,315
2017-10-25 12:00:00 +0000 +0000,GEÇ KALANLAR,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,298
2017-10-25 17:30:00 +0000 +0000,GEÇ KALANLAR,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,311
2017-10-26 17:30:00 +0000 +0000,GEÇ KALANLAR,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,311
2017-10-27 17:30:00 +0000 +0000,GEÇ KALANLAR,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,319
2017-10-28 12:00:00 +0000 +0000,GEÇ KALANLAR,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,313
2017-10-28 17:30:00 +0000 +0000,GEÇ KALANLAR,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.991770,318
2017-10-04 12:00:00 +0000 +0000,MARTI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,230
2017-10-04 17:30:00 +0000 +0000,MARTI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,334
2017-10-05 17:30:00 +0000 +0000,MARTI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,329
2017-10-06 17:30:00 +0000 +0000,MARTI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,339
2017-10-07 12:00:00 +0000 +0000,MARTI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,332
2017-10-07 17:30:00 +0000 +0000,MARTI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,336
2017-10-11 12:00:00 +0000 +0000,SIZI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,279
2017-10-11 17:30:00 +0000 +0000,SIZI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,327
2017-10-12 17:30:00 +0000 +0000,SIZI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,330
2017-10-13 17:30:00 +0000 +0000,SIZI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,322
2017-10-14 12:00:00 +0000 +0000,SIZI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,334
2017-10-14 17:30:00 +0000 +0000,SIZI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,333
2017-10-18 12:00:00 +0000 +0000,OYUNUN OYUNU,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,282
2017-10-18 17:30:00 +0000 +0000,OYUNUN OYUNU,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,347
2017-10-19 17:30:00 +0000 +0000,OYUNUN OYUNU,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,346
2017-10-20 17:30:00 +0000 +0000,OYUNUN OYUNU,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,345
2017-10-21 12:00:00 +0000 +0000,OYUNUN OYUNU,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,339
2017-10-21 17:30:00 +0000 +0000,OYUNUN OYUNU,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.012900,41.019561,333
2017-10-25 12:00:00 +0000 +0000,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,343
2017-10-25 17:30:00 +0000 +0000,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,329
2017-10-26 17:30:00 +0000 +0000,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,339
2017-10-27 17:30:00 +0000 +0000,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,335
2017-10-28 12:00:00 +0000 +0000,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,356
2017-10-28 17:30:00 +0000 +0000,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.012900,41.019561,341
